N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,matrix_conceptor,38.4912,18.3708,24.3,16.037999999999997,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021535195954089877
250,matrix_conceptor,38.4912,18.3708,24.3,13.121999999999998,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022617840008596797
250,matrix_conceptor,38.4912,18.3708,24.3,11.8098,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020531676886796717
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.00421875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0020754247609501425
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.0052734375,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022881893003280666
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.0031640625,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021137461702592135
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,0.9999999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021849730780712693
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,1.0499999999999998,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0021744015907261645
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,0.9499999999999997,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002194003454350976
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,0.8999999999999997,0.49999999999999994,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022619420932767586
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,0.8999999999999997,0.5499999999999999,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0023790683149450364
250,matrix_conceptor,38.4912,18.3708,24.3,10.62882,3000,500,8.019e-05,0.002373046875,0.8999999999999997,0.44999999999999996,0.00023914844999999994,0.005501595329999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022560555030419222
