N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.003113152871125729
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.0131769,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030338507259845245
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.0107811,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027273234416151453
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028236021943203425
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0999999999999999,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0031047686679035826
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,0.9999999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030741275960113655
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028606206315388923
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.6499999999999999,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0030286522274445204
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.7,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0028563344316840577
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,52.734375,56.25,100.0,118.59210000000002,3000,500,9.702990000000003e-05,0.00970299,1.0499999999999998,0.75,0.00011,0.0005,0.30000000000000004,../res/2025-01-28 10:02:52_250.csv,3,5,0.0032161316756230823
