n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,130.990365,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020029747790009256
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002289599578517983
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,22.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019602067930260814
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,18.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002029154392051802
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,19.8,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018705922014115226
3000,500,0.0263671875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019404380499849407
3000,500,0.032958984375,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0023453540589053485
3000,500,0.019775390625,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0023333230283972333
3000,500,0.01483154296875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019292810349157653
3000,500,0.0111236572265625,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017568781927345136
3000,500,0.008342742919921875,0.405,5.6250000000000005e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018870509119927495
3000,500,0.008342742919921875,0.405,7.031250000000001e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019704867467224326
3000,500,0.008342742919921875,0.405,4.21875e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002091064453496598
3000,500,0.008342742919921875,0.405,5.2734375000000006e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017649793243739277
3000,500,0.008342742919921875,0.405,6.591796875e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0015335488104709098
3000,500,0.008342742919921875,0.405,8.23974609375e-05,48.6,17.1885556953,117.8913285,21.78,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020397625835832825
3000,500,0.008342742919921875,0.405,8.23974609375e-05,48.6,17.1885556953,117.8913285,21.78,1.2000000000000002,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019441089606834637
3000,500,0.008342742919921875,0.405,8.23974609375e-05,48.6,17.1885556953,117.8913285,21.78,1.0,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0004304672099999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0023777110313986
