N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.30000000000000004,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0032314790682610424
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.10000000000000003,5.9049e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028908944218465128
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.495390000000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002725650488010753
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,5.3144100000000005e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0031943167985715544
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,5.8458510000000004e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0022984031360907577
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025930014438180836
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.00055,../res/RFC_MAANDAG__500.csv,3,5,0.00264693808065099
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.0001089,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.00045,../res/RFC_MAANDAG__500.csv,3,5,0.00268422487316267
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,0.00011979,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002760366812450582
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,9.801e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002665358276649798
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,8.820900000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0024204644800450625
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,50,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026886840575721105
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,58.59375,50,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026158607428936474
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,35.15625,50,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0031916166118961717
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,62.5,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0029956569506257172
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,37.5,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026614680075623836
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,28.125,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002478039853832391
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026738128817586403
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,35.15625,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0029736820061823733
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,21.09375,48.51495,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0029852431085191115
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,53.366445,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002803855704339063
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,43.663455,3000,500,7.938810000000001e-05,0.008820900000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0025351386626555152
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.009702990000000002,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002945942609353721
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007938810000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026524001576164738
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,1.0499999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0026752788294090043
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,1.0999999999999999,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0027796399859231296
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9999999999999998,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.00267614345781375
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002843323770476199
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.7,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0029388501722616466
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.5,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.003084319245492825
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.6,0.30000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002686753588788968
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.6,0.10000000000000003,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028970746736252037
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.6,0.20000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.0028188393551548457
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,46.875,21.09375,28.125,48.51495,3000,500,7.938810000000001e-05,0.007144929000000001,0.9499999999999997,0.6,0.30000000000000004,6.430436100000001e-05,0.0005,../res/RFC_MAANDAG__500.csv,3,5,0.002902216820276547
